,,,,,132.2321227,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,8,8,8.777333333,148.5,8.730166667,2.445568953,8.380632585
2011,2,8,9,9.1005,148.3333333,9.040666667,2.507292867,8.6860311
2011,2,8,10,8.299833333,148.3333333,8.2515,2.288429366,7.927820841
2011,2,8,11,8.696166667,144.6666667,8.650333333,1.862625498,8.447419312
2011,2,8,12,8.290166667,147,8.243833333,2.10138338,7.971510266
2011,2,8,13,7.282666667,144,7.249,1.478413401,7.096639685
2011,2,8,14,7.297833333,142.1666667,7.256,1.25182687,7.147199835
2011,2,8,15,8.396833333,125.5,8.357833333,-0.979768217,8.30020676
2011,2,8,16,9.446166667,112.3333333,9.379833333,-3.192517101,8.819813372
2011,2,8,17,10.00333333,112.3333333,9.906333333,-3.371716474,9.314878857
2011,2,8,18,10.28516667,110.8333333,10.14283333,-3.700684879,9.443622154
2011,2,8,19,9.817166667,116.5,9.648166667,-2.616005202,9.286745222
2011,2,8,20,9.440166667,122,9.274833333,-1.647548922,9.127327972
2011,2,8,21,9.165666667,125.6666667,8.982333333,-1.027023996,8.923426125
2011,2,8,22,8.534666667,130.5,8.312333333,-0.251253906,8.308535185
2011,2,8,23,10.53816667,135.6666667,10.28066667,0.615896315,10.26220147
2011,2,9,0,8.3775,145.8333333,8.158,1.918456893,7.92921731
2011,2,9,1,8.776833333,146,8.547333333,2.03417094,8.301750158
2011,2,9,2,8.7485,139,8.515333333,1.003508585,8.455996233
2011,2,9,3,8.1385,140.8333333,7.925666667,1.185332862,7.836528448
2011,2,9,4,9.3865,143,9.123666667,1.704579831,8.963018523
2011,2,9,5,9.125,143.1666667,8.904833333,1.689135017,8.743161876
2011,2,9,6,8.135833333,148.1666667,7.933333333,2.178009469,7.62850264
2011,2,9,7,7.0085,141.5,6.960833333,1.121045813,6.869967756
2011,2,9,8,7.513666667,134.8333333,7.463166667,0.338709065,7.455476703
2011,2,9,9,6.454166667,133.8333333,6.423833333,0.179499627,6.421324986
2011,2,9,10,6.5205,126.6666667,6.499,-0.630291563,6.468364055
2011,2,9,11,5.669166667,119.6666667,5.649333333,-1.229039671,5.514021091
2011,2,9,12,6.1305,118.5,6.103166667,-1.448786823,5.928714878
2011,2,9,13,5.419833333,127.1666667,5.4045,-0.477183633,5.383392613
2011,2,9,14,5.323166667,124.8333333,5.301166667,-0.68265585,5.257028535
2011,2,9,15,5.892333333,121,5.865333333,-1.142474791,5.75298935
2011,2,9,16,7.039833333,110.6666667,7.0055,-2.574969026,6.515102821
2011,2,9,17,8.623666667,96.16666667,8.532333333,-5.023062351,6.897068705
2011,2,9,18,9.0875,99.33333333,8.952666667,-4.862700967,7.516939521
