"alpha","phi","RSN","phi.hat","phi0.hat","sigma.e","beta","beta0","RMSE.arima","RMSE.qr","diffrmse","diff.intercept","diff.lag"
0.9,0.5,0.01,0.498628059076201,1.00037085740345,0.0202135165994488,0.518165473895021,1.14420231515041,0.139814134296373,0.139854027532959,1.00028533049814,0.0383721714790843,-0.01953741481882
0.9,0.5,0.05,0.511533504367187,1.0076917329096,0.102334672580168,0.512530469344788,1.40203106169989,0.314519062791199,0.313302946109987,0.996133408670307,0.0156263380995183,-0.000996964977600823
0.9,0.5,0.1,0.502259633412162,0.995699741005856,0.201726475299349,0.514466068030278,1.54844274695657,0.444342705540417,0.444259520068874,0.999812789834274,0.0228526871273378,-0.0122064346181159
0.9,0.5,0.5,0.494586589087339,1.00586707309617,0.994220843184585,0.499178397358732,2.2743174704314,0.987368034717049,0.987331419840019,0.999962916687858,0.0093926586990527,-0.00459180827139283
0.9,0.5,1,0.502141873797871,1.02149374819321,1.94174747902115,0.529400843463053,2.72121970668436,1.41140807716185,1.41293655975938,1.00108294873911,0.0860725688422086,-0.0272589696651814
0.9,0.7,0.01,0.723990335959613,0.999858347137841,0.0330301763754151,0.715198451684047,1.18217075440518,0.197302763437366,0.181278081456687,0.918781259311827,0.0505994142593196,0.00879188427556576
0.9,0.7,0.05,0.703944486439968,1.00046111373313,0.170448037294745,0.709730130899144,1.49703793428842,0.409511426323686,0.409060148899602,0.99889801017731,0.0325162672519377,-0.00578564445917695
0.9,0.7,0.1,0.707696099430022,0.994227688213104,0.344401912613928,0.721346259630816,1.66666944480913,0.574335671878566,0.573675224424896,0.998850067154092,0.079646595797344,-0.0136501602007942
0.9,0.7,0.5,0.701721577287741,1.00558353165132,1.65399488004158,0.719074820975859,2.59043655344703,1.29415071290324,1.29445428614913,1.00023457333281,0.0633213845609371,-0.0173532436881179
0.9,0.7,1,0.705893831165397,0.967303538534168,3.21887373027933,0.721851695680948,3.20554378195907,1.83318413954225,1.83443007335735,1.00067965557208,0.0610196070940883,-0.015957864515551
0.9,0.9,0.01,0.923138863222968,0.996298860071232,0.100699419615394,0.927464174054719,1.13024838624882,0.391467162141138,0.315275287307521,0.805368413491227,0.272727434562459,-0.00432531083175125
0.9,0.9,0.05,0.904436183344106,0.9971425858867,0.495339383121738,0.911184815794789,1.79375140021159,0.707736439693195,0.70651179858645,0.998269636777108,0.105351677966893,-0.00674863245068269
0.9,0.9,0.1,0.905742628170024,1.00623452944593,0.999722877407241,0.905152196145658,2.23983810171709,1.00609552540641,1.00414610789296,0.998062393217914,0.0477704075230316,0.00059043202436615
