Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,8,10,9.3005,150.8333333,9.347333333,3.07175336,8.828191872
2011,2,8,11,8.4685,154.6666667,8.503,3.324925058,7.825974851
2011,2,8,12,7.535166667,149,7.573,2.258570413,7.228360028
2011,2,8,13,7.288666667,144.8333333,7.31,1.667412494,7.117291309
2011,2,8,14,7.4655,132,7.487333333,0.045987516,7.487192103
2011,2,8,15,8.293,130.5,8.319333333,-0.166690466,8.317663217
2011,2,8,16,9.768666667,118.3333333,9.803666667,-2.257787224,9.540140301
2011,2,8,17,10.19433333,112,10.2445,-3.444631787,9.648020113
2011,2,8,18,10.22883333,116,10.295,-2.776850242,9.913431683
2011,2,8,19,9.034166667,116.6666667,9.104333333,-2.353522655,8.794874448
2011,2,8,20,9.930333333,120.5,10.047,-1.942541586,9.857420615
2011,2,8,21,10.11716667,128.8333333,10.24616667,-0.5031577,10.23380495
2011,2,8,22,9.629666667,131.8333333,9.755833333,0.031542486,9.755782341
2011,2,8,23,9.188333333,135.8333333,9.327,0.680697757,9.30212769
2011,2,9,0,8.345,136.5,8.469833333,0.716384635,8.439482789
2011,2,9,1,7.571666667,125.3333333,7.687333333,-0.845531432,7.640691747
2011,2,9,2,6.737333333,121.8333333,6.85,-1.1676729,6.749743699
2011,2,9,3,7.244166667,119.1666667,7.373666667,-1.593618763,7.199398541
2011,2,9,4,7.782333333,125.6666667,7.933333333,-0.826700278,7.890142231
2011,2,9,5,7.972333333,131.5,8.134666667,-0.021024556,8.134639497
2011,2,9,6,6.905333333,132,7.001,0.043000436,7.000867944
2011,2,9,7,7.4455,125.3333333,7.473166667,-0.821975194,7.427824501
2011,2,9,8,7.931833333,126.6666667,7.957,-0.690927438,7.926945709
2011,2,9,9,6.571666667,123.8333333,6.592,-0.896318501,6.530779214
2011,2,9,10,6.5225,125.8333333,6.539833333,-0.662566448,6.506183653
2011,2,9,11,6.2665,132.5,6.2855,0.09345394,6.284805217
2011,2,9,12,6.0585,120.5,6.069666667,-1.173542343,5.955136591
2011,2,9,13,5.832,116.3333333,5.859166667,-1.547531166,5.651104434
2011,2,9,14,5.106833333,109.1666667,5.124666667,-1.959589423,4.735210422
2011,2,9,15,5.3695,126.3333333,5.386833333,-0.49896591,5.363674708
2011,2,9,16,7.274,118.5,7.297,-1.659838546,7.105712139
2011,2,9,17,8.935666667,104.3333333,8.987,-4.12393949,7.984941583
2011,2,9,18,9.229666667,101.6666667,9.290833333,-4.642806935,8.047603854
2011,2,9,19,8.725833333,108.8333333,8.789666667,-3.408218889,8.101992602
2011,2,9,20,9.150333333,117.1666667,9.237666667,-2.31002639,8.944174838
2011,2,9,21,8.965666667,124.3333333,9.063666667,-1.153985841,8.989903789
2011,2,9,22,8.227166667,135.6666667,8.339166667,0.584408776,8.31866378
2011,2,9,23,7.9625,140.8333333,8.0865,1.290824009,7.982810008
2011,2,10,0,7.748166667,146.1666667,7.879,1.97521785,7.627395063
2011,2,10,1,8.2715,150.1666667,8.409666667,2.671012708,7.974219997
2011,2,10,2,7.8175,151.6666667,7.942166667,2.718801281,7.462314049
2011,2,10,3,7.485333333,151.5,7.620833333,2.587961127,7.167953536
2011,2,10,4,7.579333333,150.1666667,7.717,2.451013326,7.317419127
2011,2,10,5,7.501333333,151.1666667,7.639833333,2.552564245,7.200796423
2011,2,10,6,7.749333333,147.3333333,7.8385,2.119158713,7.546605104
2011,2,10,7,8.254833333,142.6666667,8.286,1.583681171,8.133249655
2011,2,10,8,8.4655,134,8.495833333,0.348644693,8.488676628
2011,2,10,9,8.233333333,123.6666667,8.258833333,-1.146754971,8.178831277
2011,2,10,10,7.657,127.6666667,7.683666667,-0.53349959,7.665123067
2011,2,10,11,6.706,126.1666667,6.728,-0.642678229,6.697234406
2011,2,10,12,6.2945,135.8333333,6.3095,0.460476305,6.292674457
2011,2,10,13,7.330333333,123.6666667,7.356666667,-1.021487386,7.285403762
2011,2,10,14,7.393833333,131.1666667,7.417333333,-0.062322143,7.417071506
2011,2,10,15,8.477,120.5,8.505833333,-1.644564047,8.345334612
2011,2,10,16,9.8875,112.3333333,9.935166667,-3.286129629,9.375974017
2011,2,10,17,9.0355,110.1666667,9.083166667,-3.326250703,8.452217044
2011,2,10,18,9.309,114.1666667,9.3665,-2.813663602,8.933902808
2011,2,10,19,8.5525,122.8333333,8.6235,-1.321467391,8.521647504
2011,2,10,20,7.71,130.1666667,7.783833333,-0.201233427,7.78123168
2011,2,10,21,8.434666667,137.6666667,8.5285,0.894221738,8.481490419
2011,2,10,22,8.790666667,133.1666667,8.880166667,0.235334654,8.877047799
2011,2,10,23,8.556333333,135.1666667,8.651166667,0.53094155,8.634858758
2011,2,11,0,8.606,140.6666667,8.721666667,1.367162948,8.613845536
2011,2,11,1,8.558833333,147.1666667,8.6795,2.322207896,8.363077827
2011,2,11,2,9.010666667,152.1666667,9.133333333,3.201335093,8.55390153
2011,2,11,3,8.756666667,158,8.878666667,3.941091938,7.956036458
2011,2,11,4,9.719666667,158.3333333,9.866833333,4.431086077,8.815887715
2011,2,11,5,8.799833333,158,8.937166667,3.967059112,8.008457407
2011,2,11,6,8.611166667,152.3333333,8.6955,3.071546179,8.134944642
2011,2,11,7,10.26316667,143.8333333,10.31266667,2.176726972,10.08032507
2011,2,11,8,10.72783333,134.5,10.76966667,0.535842189,10.75632806
2011,2,11,9,10.5075,132.6666667,10.542,0.187401689,10.54033418
2011,2,11,10,9.619,127.6666667,9.644666667,-0.669657591,9.621390431
2011,2,11,11,8.726666667,128,8.754333333,-0.557021401,8.73659426
2011,2,11,12,9.010333333,136.3333333,9.037833333,0.738227499,9.007632958
2011,2,11,13,8.439,123.3333333,8.466166667,-1.224300489,8.37717532
2011,2,11,14,9.241166667,114.6666667,9.2725,-2.708140661,8.868214612
2011,2,11,15,9.4305,111.5,9.462,-3.259164095,8.882977733
2011,2,11,16,10.163,105.5,10.2055,-4.497489066,9.161049195
2011,2,11,17,11.125,108,11.17983333,-4.484431674,10.2410227
2011,2,11,18,9.779166667,112.3333333,9.832833333,-3.252282125,9.27940043
2011,2,11,19,8.427166667,118.5,8.501,-1.933710769,8.278149773
2011,2,11,20,7.686833333,131.6666667,7.7705,0.002520106,7.770499591
2011,2,11,21,9.1125,126.5,9.208166667,-0.826250446,9.171021948
2011,2,11,22,9.256166667,128.5,9.3665,-0.514378227,9.352365331
2011,2,11,23,9.0945,131,9.185,-0.103891265,9.184412426
2011,2,12,0,8.3625,135.6666667,8.462166667,0.593028616,8.441361369
2011,2,12,1,8.024166667,139,8.115166667,1.038443546,8.048451095
2011,2,12,2,6.948666667,141.5,7.017166667,1.200653358,6.913686393
2011,2,12,3,7.229666667,144.8333333,7.298333333,1.664751325,7.105932202
2011,2,12,4,6.832833333,150.6666667,6.9145,2.253261202,6.537057764
2011,2,12,5,7.057666667,141.6666667,7.141,1.242302335,7.032109634
2011,2,12,6,7.620333333,137.1666667,7.676,0.738189955,7.640422213
2011,2,12,7,7.350166667,130.1666667,7.376,-0.190689818,7.373534661
2011,2,12,8,8.870833333,125.5,8.900333333,-0.953212513,8.849142294
2011,2,12,9,9.409,109.6666667,9.448166667,-3.536504265,8.761334998
2011,2,12,10,9.902,100.1666667,9.958,-5.20028679,8.492277745
2011,2,12,11,7.490666667,108.8333333,7.516666667,-2.914609426,6.928587856
2011,2,12,12,7.441166667,127.1666667,7.4715,-0.583791438,7.448657584
